name,type,str_addr,addr_loc,addr_reg,post_code,phone_num
Irish Creek Bison,Livestock Breeders,"<span class=""jsMapBubbleAddress"" itemprop=""streetAddress"">PO box 3130</span>","<span class=""jsMapBubbleAddress"" itemprop=""addressLocality"">Vermilion</span>","<span class=""jsMapBubbleAddress"" itemprop=""addressRegion"">AB</span>","<span class=""jsMapBubbleAddress"" itemprop=""postalCode"">T9X 2B1</span>",
Olysky LP,Livestock Breeders,,"<span class=""jsMapBubbleAddress"" itemprop=""addressLocality"">Théodore</span>","<span class=""jsMapBubbleAddress"" itemprop=""addressRegion"">SK</span>","<span class=""jsMapBubbleAddress"" itemprop=""postalCode"">S0A 4C0</span>",
Anstey Hatchery Ltd,Poultry Hatcheries,"<span class=""jsMapBubbleAddress"" itemprop=""streetAddress"">2717 Cleveland Ave GD Stn Main</span>","<span class=""jsMapBubbleAddress"" itemprop=""addressLocality"">Saskatoon</span>","<span class=""jsMapBubbleAddress"" itemprop=""addressRegion"">SK</span>","<span class=""jsMapBubbleAddress"" itemprop=""postalCode"">S7K 3J4</span>",
Vaughan's Meat & Abattoir,Slaughterhouses,"<span class=""jsMapBubbleAddress"" itemprop=""streetAddress"">326 McAllister Ave N</span>","<span class=""jsMapBubbleAddress"" itemprop=""addressLocality"">Porcupine Plain</span>","<span class=""jsMapBubbleAddress"" itemprop=""addressRegion"">SK</span>","<span class=""jsMapBubbleAddress"" itemprop=""postalCode"">S0E 1H0</span>",
Graw Richard,Aerial Seeding & Spraying Service,"<span class=""jsMapBubbleAddress"" itemprop=""streetAddress"">PO Box 501</span>","<span class=""jsMapBubbleAddress"" itemprop=""addressLocality"">Manning</span>","<span class=""jsMapBubbleAddress"" itemprop=""addressRegion"">AB</span>","<span class=""jsMapBubbleAddress"" itemprop=""postalCode"">T0H 2M0</span>",
Rayglen Commodities,Grain Brokers,"<span class=""jsMapBubbleAddress"" itemprop=""streetAddress"">1-3815 Thatcher Ave</span>","<span class=""jsMapBubbleAddress"" itemprop=""addressLocality"">Saskatoon</span>","<span class=""jsMapBubbleAddress"" itemprop=""addressRegion"">SK</span>","<span class=""jsMapBubbleAddress"" itemprop=""postalCode"">S7R 1A3</span>",
Dutton Siding,Grain Brokers,"<span class=""jsMapBubbleAddress"" itemprop=""streetAddress"">SE 11-25-23W</span>","<span class=""jsMapBubbleAddress"" itemprop=""addressLocality"">Gilbert Plains</span>","<span class=""jsMapBubbleAddress"" itemprop=""addressRegion"">MB</span>","<span class=""jsMapBubbleAddress"" itemprop=""postalCode"">R0L 0X0</span>",
L S M Commodities,Grain Brokers,"<span class=""jsMapBubbleAddress"" itemprop=""streetAddress"">1020 8th Street E</span>","<span class=""jsMapBubbleAddress"" itemprop=""addressLocality"">Saskatoon</span>","<span class=""jsMapBubbleAddress"" itemprop=""addressRegion"">SK</span>","<span class=""jsMapBubbleAddress"" itemprop=""postalCode"">S7H 0R9</span>",
CGF Brokerage and Consulting,Grain Brokers,"<span class=""jsMapBubbleAddress"" itemprop=""streetAddress"">2964 Cumberland Ave S</span>","<span class=""jsMapBubbleAddress"" itemprop=""addressLocality"">Saskatoon</span>","<span class=""jsMapBubbleAddress"" itemprop=""addressRegion"">SK</span>","<span class=""jsMapBubbleAddress"" itemprop=""postalCode"">S7J 2A6</span>",
Richardson Pioneer,Grain Elevator Equipment,"<span class=""jsMapBubbleAddress"" itemprop=""streetAddress"">Hwy 38</span>","<span class=""jsMapBubbleAddress"" itemprop=""addressLocality"">Kelvington</span>","<span class=""jsMapBubbleAddress"" itemprop=""addressRegion"">SK</span>","<span class=""jsMapBubbleAddress"" itemprop=""postalCode"">S0A 1W0</span>",
English River Fish Plant,Fish Hatcheries,,"<span class=""jsMapBubbleAddress"" itemprop=""addressLocality"">Patuanak</span>","<span class=""jsMapBubbleAddress"" itemprop=""addressRegion"">SK</span>","<span class=""jsMapBubbleAddress"" itemprop=""postalCode"">S0M 2H0</span>",
Napanee Bay Fisheries Inc,Fish Hatcheries,"<span class=""jsMapBubbleAddress"" itemprop=""streetAddress"">Chartier Ave</span>","<span class=""jsMapBubbleAddress"" itemprop=""addressLocality"">Easterville</span>","<span class=""jsMapBubbleAddress"" itemprop=""addressRegion"">MB</span>","<span class=""jsMapBubbleAddress"" itemprop=""postalCode"">R0C 0V0</span>",
Niqitaq Fisheries Ltd,Fish Hatcheries,,,,,
Northern Lites Bait Co Ltd,Fishing Supplies,"<span class=""jsMapBubbleAddress"" itemprop=""streetAddress"">136 Larose av</span>","<span class=""jsMapBubbleAddress"" itemprop=""addressLocality"">The Pas</span>","<span class=""jsMapBubbleAddress"" itemprop=""addressRegion"">MB</span>","<span class=""jsMapBubbleAddress"" itemprop=""postalCode"">R9A 1R8</span>",
The Northern Fly Fisherman,Fishing Supplies,"<span class=""jsMapBubbleAddress"" itemprop=""streetAddress"">892 Manor Hts</span>","<span class=""jsMapBubbleAddress"" itemprop=""addressLocality"">Martensville</span>","<span class=""jsMapBubbleAddress"" itemprop=""addressRegion"">SK</span>","<span class=""jsMapBubbleAddress"" itemprop=""postalCode"">S0K 2T2</span>",
Northern Angler Fly & Tackle,Fishing Supplies,"<span class=""jsMapBubbleAddress"" itemprop=""streetAddress"">NW 29-24-19W</span>","<span class=""jsMapBubbleAddress"" itemprop=""addressLocality"">Dauphin</span>","<span class=""jsMapBubbleAddress"" itemprop=""addressRegion"">MB</span>","<span class=""jsMapBubbleAddress"" itemprop=""postalCode"">R7N 3L9</span>",
